user_id,username,email,signup_date,plan
USR-0-0000,bob_smith_45,,2026-02-22,enterprise
USR-0-0001,,gmail.com,2026-09-07,enterprise
USR-0-0002,ian_moore_38,ian_moore_38@gmail.com,2026-03-23,pro
USR-0-0003,charlie_taylor_53,charlie_taylor_53@outlook.com,2026-06-20,pro
USR-0-0004,hannah_thomas_25,hannah_thomas_25@mail.net,2026-05-27,enterprise
USR-0-0005,fiona_jackson_34,invalid_email_format,2026-02-28,free
USR-0-0006,george_miller_68,george_miller_68@outlook.com,2026-06-07,enterprise
USR-0-0007,bob_jackson_91,bob_jackson_91@yahoo.com,2026-08-13,pro
USR-0-0008,ian_taylor_97,ian_taylor_97@gmail.com,2026-04-27,free
USR-0-0009,george_miller_18,george_miller_18@outlook.com,2026-04-21,pro
USR-0-0010,hannah_brown_43,hannah_brown_43@mail.net,2026-05-24,enterprise
USR-0-0011,julia_moore_56,julia_moore_56@mail.net,2026-08-03,free
USR-0-0012,charlie_brown_97,missing_domain@Charlie,2026-09-09,enterprise
USR-0-0013,alice_johnson_97,alice_johnson_97@outlook.com,2026-02-10,pro
USR-0-0014,alice_miller_74,alice_miller_74@gmail.com,2026-11-10,enterprise
USR-0-0015,diana_brown_57,diana_brown_57@mail.net,2026-01-20,pro
USR-0-0016,bob_wilson_49,bob_wilson_49@mail.net,2026-02-03,enterprise
USR-0-0017,bob_thomas_26,bob_thomas_26@mail.net,2026-03-09,enterprise
USR-0-0018,george_taylor_79,george_taylor_79@outlook.com,2026-07-22,enterprise
USR-0-0019,ian_anderson_25,Ian @ gmail.com,2026-10-08,free
USR-0-0020,alice_taylor_18,alice_taylor_18@gmail.com,2026-09-08,pro
USR-0-0021,diana_thomas_26,diana_thomas_26@mail.net,2026-08-08,pro
USR-0-0022,diana_johnson_22,diana_johnson_22@company.org,2026-08-28,enterprise
USR-0-0023,bob_smith_61,bob_smith_61@gmail.com,2026-04-07,free
USR-0-0024,charlie_moore_33,charlie_moore_33@gmail.com,2026-08-26,enterprise
USR-0-0025,ian_smith_21,ian_smith_21@yahoo.com,2026-07-16,pro
USR-0-0026,george_smith_31,george_smith_31@outlook.com,2026-08-10,pro
USR-0-0027,ian_anderson_29,ian_anderson_29@gmail.com,2026-10-24,enterprise
USR-0-0028,fiona_smith_16,fiona_smith_16@mail.net,2026-03-02,enterprise
USR-0-0029,,@company.org,2026-02-19,free
USR-0-0030,alice_jackson_20,alice_jackson_20@mail.net,2026-06-09,free
USR-0-0031,fiona_taylor_43,fiona_taylor_43@outlook.com,2026-08-11,
USR-0-0032,,@outlook.com,2026-03-12,free
USR-0-0033,fiona_miller_30,fiona_miller_30@outlook.com,2026-10-26,enterprise
USR-0-0034,ian_miller_94,ian_miller_94@outlook.com,2026-02-04,enterprise
USR-0-0035,ethan_miller_87,ethan_miller_87@outlook.com,2026-09-16,pro
USR-0-0036,alice_johnson_91,alice_johnson_91@gmail.com,2026-06-25,free
USR-0-0037,ethan_brown_66,ethan_brown_66@gmail.com,2026-02-03,enterprise
USR-0-0038,ian_smith_57,,2026-03-02,pro
USR-0-0039,alice_wilson_36,alice_wilson_36@outlook.com,2026-09-28,pro
USR-0-0040,charlie_taylor_30,charlie_taylor_30@company.org,2026-01-06,enterprise
USR-0-0041,george_taylor_44,george_taylor_44@company.org,2026-01-28,pro
USR-0-0042,hannah_wilson_49,hannah_wilson_49@yahoo.com,2026-01-22,free
USR-0-0043,ethan_johnson_45,ethan_johnson_45@mail.net,2026-06-01,free
USR-0-0044,ethan_brown_84,ethan_brown_84@gmail.com,2026-10-14,pro
